CandidateName,District,ConstituencyNo,Party,Symbol,Search Keywords
चन्द्र वीर राई,मोरङ,2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""चन्द्र वीर राई"" OR ""Chanadara Waira Rai"" OR ""Chanadara"")"
कृष्ण कुमार कार्की,मोरङ,2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Karishana Kaumara Karakai"" OR ""कृष्ण कुमार कार्की"" OR ""Karishana"")"
कन्स राज राजवंशी,मोरङ,2,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Kanasa Raja Rajawanshai"" OR ""कन्स राज राजवंशी"" OR ""Kanasa"")"
विनोद कुमार सिंह गनगाई,मोरङ,2,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""विनोद कुमार सिंह गनगाई"" OR ""Wainaoda"" OR ""Wainaoda Kaumara Sainha Ganagai"")"
घनश्याम चौधरी,मोरङ,2,जनमत पार्टी,लाउड स्पिकर,"(""Ghanashayama"" OR ""Ghanashayama Chaudharai"" OR ""घनश्याम चौधरी"")"
धन बहादुर लिम्बु,मोरङ,2,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Dhana"" OR ""Dhana Bahadaura Laimabau"" OR ""धन बहादुर लिम्बु"")"
धन वहादुर सुनुवार,मोरङ,2,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,"(""Dhana Wahadaura Saunauwara"" OR ""Dhana"" OR ""धन वहादुर सुनुवार"")"
अबुहो रैरह,मोरङ,2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""Abauhao"" OR ""Abauhao Rairaha"" OR ""अबुहो रैरह"")"
मेघेन्द्र कुमार रोक्का,मोरङ,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Maeghaenadara Kaumara Raokaka"" OR ""मेघेन्द्र कुमार रोक्का"" OR ""Maeghaenadara"")"
मनोज कुमार राजवंशी,मोरङ,2,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),"(""मनोज कुमार राजवंशी"" OR ""Manaoja"" OR ""Manaoja Kaumara Rajawanshai"")"
माधव प्रसाद राजवंशी,मोरङ,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""माधव प्रसाद राजवंशी"" OR ""Madhawa Parasada Rajawanshai"" OR ""Madhawa"")"
अनिल कुमार साह,मोरङ,2,स्वतन्त्र,झोला,"(""अनिल कुमार साह"" OR ""Anaila Kaumara Saha"" OR ""Anaila"")"
नरेश कुमार साह,मोरङ,2,स्वतन्त्र,क्यामरा,"(""नरेश कुमार साह"" OR ""Naraesha Kaumara Saha"" OR ""Naraesha"")"
बुधु रिषिदेव,मोरङ,2,स्वतन्त्र,कैंची,"(""Baudhau"" OR ""बुधु रिषिदेव"" OR ""Baudhau Raishaidaewa"")"
राजन निरौला,मोरङ,2,स्वतन्त्र,आँप,"(""Rajana Nairaula"" OR ""Rajana"" OR ""राजन निरौला"")"
इरन कुमार राई,मोरङ,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""इरन कुमार राई"" OR ""Irana Kaumara Rai"" OR ""Irana"")"
शुनिल कुमार शर्मा,मोरङ,3,नेपाली काँग्रेस,रुख,"(""Shaunaila"" OR ""शुनिल कुमार शर्मा"" OR ""Shaunaila Kaumara Sharama"")"
डा. देउमान सम्वाहाङफे,मोरङ,3,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""डा. देउमान सम्वाहाङफे"" OR ""Da Daeumana Samawahangaphae"")"
गणेश कार्की,मोरङ,3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Ganaesha Karakai"" OR ""Ganaesha"" OR ""गणेश कार्की"")"
प्रेम प्रसाद सुवेदी,मोरङ,3,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""प्रेम प्रसाद सुवेदी"" OR ""Paraema"" OR ""Paraema Parasada Sauwaedai"")"
मजेबुल रहमान,मोरङ,3,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""Majaebaula Rahamana"" OR ""मजेबुल रहमान"" OR ""Majaebaula"")"
प्रशुराम विश्वास  थारु,मोरङ,3,नेपाल मजदुर किसान पार्टी,मादल,"(""Parashaurama"" OR ""Parashaurama Waishawasa  Tharau"" OR ""प्रशुराम विश्वास  थारु"")"
बिकेन्द्र राई,मोरङ,3,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Baikaenadara"" OR ""बिकेन्द्र राई"" OR ""Baikaenadara Rai"")"
विदुर अधिकारी,मोरङ,3,संयुक्त नागरिक पार्टी,गितार,"(""Waidaura Adhaikarai"" OR ""विदुर अधिकारी"" OR ""Waidaura"")"
डिल्ली वहादुर जबेगु,मोरङ,3,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""Dailalai Wahadaura Jabaegau"" OR ""डिल्ली वहादुर जबेगु"" OR ""Dailalai"")"
नवराज मास्के,मोरङ,3,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,"(""Nawaraja Masakae"" OR ""Nawaraja"" OR ""नवराज मास्के"")"
अमिर मगर,मोरङ,3,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""Amaira"" OR ""Amaira Magara"" OR ""अमिर मगर"")"
खड्ग बहादुर कार्की,मोरङ,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Khadaga"" OR ""Khadaga Bahadaura Karakai"" OR ""खड्ग बहादुर कार्की"")"
भुवन कुमार वाग्ले,मोरङ,3,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),"(""Bhauwana"" OR ""भुवन कुमार वाग्ले"" OR ""Bhauwana Kaumara Wagalae"")"
मित्रसेन योञ्जन,मोरङ,3,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""Maitarasaena"" OR ""मित्रसेन योञ्जन"" OR ""Maitarasaena Yaonyajana"")"
कमल कुमार राई,मोरङ,3,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,"(""कमल कुमार राई"" OR ""Kamala Kaumara Rai"" OR ""Kamala"")"
गणेश मिश्र,मोरङ,3,स्वतन्त्र,क्यामरा,"(""गणेश मिश्र"" OR ""Ganaesha Maishara"" OR ""Ganaesha"")"
तेज प्रसाद भण्डारी,मोरङ,3,स्वतन्त्र,कप र प्लेट,"(""Taeja"" OR ""तेज प्रसाद भण्डारी"" OR ""Taeja Parasada Bhanadarai"")"
जिवन घिमीरे,मोरङ,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""Jaiwana Ghaimairae"" OR ""Jaiwana"" OR ""जिवन घिमीरे"")"
गुरु राज घिमिरे,मोरङ,4,नेपाली काँग्रेस,रुख,"(""Gaurau"" OR ""Gaurau Raja Ghaimairae"" OR ""गुरु राज घिमिरे"")"
अमन लाल मोदी,मोरङ,4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""Amana"" OR ""अमन लाल मोदी"" OR ""Amana Lala Maodai"")"
सन्तोष राजवंशी,मोरङ,4,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Sanataosha"" OR ""Sanataosha Rajawanshai"" OR ""सन्तोष राजवंशी"")"
माधव प्रसाद आचार्य,मोरङ,4,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Madhawa Parasada Acharaya"" OR ""Madhawa"" OR ""माधव प्रसाद आचार्य"")"
तवरेज अखतर आलम ,मोरङ,4,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""Tawaraeja"" OR ""Tawaraeja Akhatara Alama"" OR ""तवरेज अखतर आलम "")"
जिवन कुमार गुप्‍ता,मोरङ,4,जनमत पार्टी,लाउड स्पिकर,"(""Jaiwana Kaumara Gaupata"" OR ""Jaiwana"" OR ""जिवन कुमार गुप्‍ता"")"
जयराम थारु,मोरङ,4,नेपाल मजदुर किसान पार्टी,मादल,"(""जयराम थारु"" OR ""Jayarama Tharau"" OR ""Jayarama"")"
गोल्छा  राई ,मोरङ,4,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Gaolachha"" OR ""Gaolachha  Rai"" OR ""गोल्छा  राई "")"
हरनु मुसहर,मोरङ,4,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""हरनु मुसहर"" OR ""Haranau"" OR ""Haranau Mausahara"")"
कृष्ण कुमार अटल,मोरङ,4,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""कृष्ण कुमार अटल"" OR ""Karishana"" OR ""Karishana Kaumara Atala"")"
हरि बहादुर बस्नेत,मोरङ,4,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""हरि बहादुर बस्नेत"" OR ""Harai Bahadaura Basanaeta"" OR ""Harai"")"
हरि नारायण चौधरी,मोरङ,4,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),"(""हरि नारायण चौधरी"" OR ""Harai Narayana Chaudharai"" OR ""Harai"")"
कल्पना देेवि यादव,मोरङ,4,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,"(""कल्पना देेवि यादव"" OR ""Kalapana"" OR ""Kalapana Daeewai Yadawa"")"
नुमा लिम्बु,मोरङ,4,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,"(""Nauma"" OR ""नुमा लिम्बु"" OR ""Nauma Laimabau"")"
अशोक शर्मा,मोरङ,4,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,"(""Ashaoka Sharama"" OR ""अशोक शर्मा"" OR ""Ashaoka"")"
भक्त मणी दाहाल,मोरङ,4,स्वतन्त्र,मुढा,"(""भक्त मणी दाहाल"" OR ""Bhakata"" OR ""Bhakata Manai Dahala"")"
विनोद कुमार कार्की,मोरङ,4,स्वतन्त्र,आसकोट,"(""Wainaoda Kaumara Karakai"" OR ""Wainaoda"" OR ""विनोद कुमार कार्की"")"
ज्ञानेन्द्र खत्री,मोरङ,4,स्वतन्त्र,त्रिभुज,"(""Janyanaenadara"" OR ""ज्ञानेन्द्र खत्री"" OR ""Janyanaenadara Khatarai"")"
मनोज कुमार अग्रवाल,मोरङ,5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""मनोज कुमार अग्रवाल"" OR ""Manaoja"" OR ""Manaoja Kaumara Agarawala"")"
फुल कुमार लालवानी,मोरङ,5,नेपाली काँग्रेस,रुख,"(""फुल कुमार लालवानी"" OR ""Phaula Kaumara Lalawanai"" OR ""Phaula"")"
शिव कुमार मंडल (केवट),मोरङ,5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""Shaiwa Kaumara Mandala Kaewata"" OR ""Shaiwa"" OR ""शिव कुमार मंडल (केवट)"")"
आशा झा,मोरङ,5,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Asha Jha"" OR ""Asha"" OR ""आशा झा"")"
कुमोद राय,मोरङ,5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""कुमोद राय"" OR ""Kaumaoda Raya"" OR ""Kaumaoda"")"
राज कुमार यादव,मोरङ,5,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""Raja"" OR ""Raja Kaumara Yadawa"" OR ""राज कुमार यादव"")"
परमेश्वर मुर्मु,मोरङ,5,जनमत पार्टी,लाउड स्पिकर,"(""Paramaeshawara"" OR ""Paramaeshawara Mauramau"" OR ""परमेश्वर मुर्मु"")"
गंगा कुमारी राजवंशी,मोरङ,5,नेपाल मजदुर किसान पार्टी,मादल,"(""गंगा कुमारी राजवंशी"" OR ""Ganga"" OR ""Ganga Kaumarai Rajawanshai"")"
राजेन्द्र प्रसाद मण्डल केवट,मोरङ,5,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,"(""Rajaenadara Parasada Manadala Kaewata"" OR ""Rajaenadara"" OR ""राजेन्द्र प्रसाद मण्डल केवट"")"
सकुन्तला श्रेष्‍ठ,मोरङ,5,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""सकुन्तला श्रेष्‍ठ"" OR ""Sakaunatala Sharaeshatha"" OR ""Sakaunatala"")"
मंगल ऋषिदेव,मोरङ,5,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""Mangala"" OR ""Mangala Rishaidaewa"" OR ""मंगल ऋषिदेव"")"
गंगा प्रसाद गिरी,मोरङ,5,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Ganga"" OR ""Ganga Parasada Gairai"" OR ""गंगा प्रसाद गिरी"")"
योगेन्द्र मण्डल,मोरङ,5,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),"(""योगेन्द्र मण्डल"" OR ""Yaogaenadara"" OR ""Yaogaenadara Manadala"")"
नरेश कुमार लाभ,मोरङ,5,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""Naraesha Kaumara Labha"" OR ""नरेश कुमार लाभ"" OR ""Naraesha"")"
अमर कुमार यादव,मोरङ,5,स्वतन्त्र,केराको काइँयो,"(""Amara"" OR ""Amara Kaumara Yadawa"" OR ""अमर कुमार यादव"")"
जय नारायण शर्मा,मोरङ,5,स्वतन्त्र,स्टुल,"(""Jaya Narayana Sharama"" OR ""Jaya"" OR ""जय नारायण शर्मा"")"
ममता यादव,मोरङ,5,स्वतन्त्र,दूरबिन,"(""ममता यादव"" OR ""Mamata"" OR ""Mamata Yadawa"")"
मोहमद रेजा हुसैन,मोरङ,5,स्वतन्त्र,ट्रफी,"(""Maohamada Raeja Hausaina"" OR ""Maohamada"" OR ""मोहमद रेजा हुसैन"")"
राज कुमार राजवंशी,मोरङ,5,स्वतन्त्र,आँप,"(""Raja Kaumara Rajawanshai"" OR ""राज कुमार राजवंशी"" OR ""Raja"")"
विकाश श्रेष्‍ठ,मोरङ,5,स्वतन्त्र,जीप,"(""Waikasha Sharaeshatha"" OR ""विकाश श्रेष्‍ठ"" OR ""Waikasha"")"
सुजित कुमार साह,मोरङ,5,स्वतन्त्र,त्रिभुज,"(""Saujaita Kaumara Saha"" OR ""सुजित कुमार साह"" OR ""Saujaita"")"
सूर्य नारायण ठाकुर,मोरङ,5,स्वतन्त्र,भँगेरा,"(""Sauraya Narayana Thakaura"" OR ""सूर्य नारायण ठाकुर"" OR ""Sauraya"")"
विनोद प्रसाद ढकाल,मोरङ,6,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""Wainaoda Parasada Dhakala"" OR ""विनोद प्रसाद ढकाल"" OR ""Wainaoda"")"
डा शेखर कोइराला,मोरङ,6,नेपाली काँग्रेस,रुख,"(""डा शेखर कोइराला"" OR ""Da Shaekhara Kaoirala"")"
ओपेन्द्र कुमार राय,मोरङ,6,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""ओपेन्द्र कुमार राय"" OR ""Opaenadara"" OR ""Opaenadara Kaumara Raya"")"
रुबिना आचार्य,मोरङ,6,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Raubaina Acharaya"" OR ""रुबिना आचार्य"" OR ""Raubaina"")"
सविन निरौला,मोरङ,6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""सविन निरौला"" OR ""Sawaina Nairaula"" OR ""Sawaina"")"
राजु मण्डल राजवंशी,मोरङ,6,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""राजु मण्डल राजवंशी"" OR ""Rajau Manadala Rajawanshai"" OR ""Rajau"")"
सुध राम माझी,मोरङ,6,जनमत पार्टी,लाउड स्पिकर,"(""Saudha"" OR ""सुध राम माझी"" OR ""Saudha Rama Majhai"")"
अनु मगर,मोरङ,6,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Anau Magara"" OR ""अनु मगर"" OR ""Anau"")"
मातृका पौडेल,मोरङ,6,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""Matarika Paudaela"" OR ""मातृका पौडेल"" OR ""Matarika"")"
कुमार प्रसाद खतिवडा,मोरङ,6,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Kaumara"" OR ""कुमार प्रसाद खतिवडा"" OR ""Kaumara Parasada Khataiwada"")"
प्रिती झा,मोरङ,6,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,"(""प्रिती झा"" OR ""Paraitai"" OR ""Paraitai Jha"")"
बसन्त बुढाथोकि,मोरङ,6,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""बसन्त बुढाथोकि"" OR ""Basanata Baudhathaokai"" OR ""Basanata"")"
बलराम खवास,मोरङ,6,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),"(""बलराम खवास"" OR ""Balarama"" OR ""Balarama Khawasa"")"
बद्री पासवान,मोरङ,6,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,"(""Badarai"" OR ""बद्री पासवान"" OR ""Badarai Pasawana"")"
उत्तम दाहाल,मोरङ,6,स्वतन्त्र,मसी,"(""Utatama Dahala"" OR ""उत्तम दाहाल"" OR ""Utatama"")"
किरण खडका,मोरङ,6,स्वतन्त्र,झोला,"(""किरण खडका"" OR ""Kairana Khadaka"" OR ""Kairana"")"
खडा नन्द रिजाल,मोरङ,6,स्वतन्त्र,मुढा,"(""Khada"" OR ""Khada Nanada Raijala"" OR ""खडा नन्द रिजाल"")"
टिका राम लिम्बु,सुनसरी,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""Taika Rama Laimabau"" OR ""टिका राम लिम्बु"" OR ""Taika"")"
सुजेन्‍द्र तामाङ,सुनसरी,1,नेपाली काँग्रेस,रुख,"(""सुजेन्‍द्र तामाङ"" OR ""Saujaenadara"" OR ""Saujaenadara Tamanga"")"
सूर्य बहादुर भट्टराई,सुनसरी,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""सूर्य बहादुर भट्टराई"" OR ""Sauraya"" OR ""Sauraya Bahadaura Bhatatarai"")"
गोमा तामाङ,सुनसरी,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Gaoma"" OR ""गोमा तामाङ"" OR ""Gaoma Tamanga"")"
उद्धव श्रेष्‍ठ,सुनसरी,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""उद्धव श्रेष्‍ठ"" OR ""Udadhawa"" OR ""Udadhawa Sharaeshatha"")"
संजय राई,सुनसरी,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""Sanjaya"" OR ""संजय राई"" OR ""Sanjaya Rai"")"
महेश श्रेष्ठ,सुनसरी,1,नेपाल मजदुर किसान पार्टी,मादल,"(""महेश श्रेष्ठ"" OR ""Mahaesha Sharaeshatha"" OR ""Mahaesha"")"
राजेन्द्र  गुरुङ्ग ,सुनसरी,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Rajaenadara  Gauraungaga"" OR ""राजेन्द्र  गुरुङ्ग "" OR ""Rajaenadara"")"
नरेश वि.क.,सुनसरी,1,संयुक्त नागरिक पार्टी,गितार,"(""नरेश वि.क."" OR ""Naraesha Waika"" OR ""Naraesha"")"
याम बहादुर लिम्बु,सुनसरी,1,नेपाल जनमुक्ति पार्टी,घर,"(""Yama"" OR ""याम बहादुर लिम्बु"" OR ""Yama Bahadaura Laimabau"")"
राज कुमार लिम्‍बु,सुनसरी,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""Raja Kaumara Laimabau"" OR ""Raja"" OR ""राज कुमार लिम्‍बु"")"
राज कुमार राई,सुनसरी,1,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,"(""Raja"" OR ""राज कुमार राई"" OR ""Raja Kaumara Rai"")"
भुपी राई,सुनसरी,1,राष्ट्रिय साझा पार्टी,ढाका टोपी,"(""Bhaupai"" OR ""Bhaupai Rai"" OR ""भुपी राई"")"
हर्क राज राई,सुनसरी,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""हर्क राज राई"" OR ""Haraka Raja Rai"" OR ""Haraka"")"
रक्ष कुमार राई,सुनसरी,1,मितेरी पार्टी नेपाल,घोडा,"(""रक्ष कुमार राई"" OR ""Rakasha Kaumara Rai"" OR ""Rakasha"")"
दिल बहादुर बास्तोला,सुनसरी,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""दिल बहादुर बास्तोला"" OR ""Daila"" OR ""Daila Bahadaura Basataola"")"
डम्वर लावती,सुनसरी,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""Damawara"" OR ""Damawara Lawatai"" OR ""डम्वर लावती"")"
नगेन्द्र बहादुर लिम्वु,सुनसरी,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""नगेन्द्र बहादुर लिम्वु"" OR ""Nagaenadara"" OR ""Nagaenadara Bahadaura Laimawau"")"
राम बहादुर विष्‍ट,सुनसरी,1,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,"(""राम बहादुर विष्‍ट"" OR ""Rama Bahadaura Waishata"" OR ""Rama"")"
ओम कृष्ण उदास,सुनसरी,1,स्वतन्त्र,कैंची,"(""ओम कृष्ण उदास"" OR ""Oma"" OR ""Oma Karishana Udasa"")"
चेत बहादुर राई,सुनसरी,1,स्वतन्त्र,कप र प्लेट,"(""Chaeta"" OR ""चेत बहादुर राई"" OR ""Chaeta Bahadaura Rai"")"
जिवन कला राई,सुनसरी,1,स्वतन्त्र,त्रिभुज,"(""Jaiwana"" OR ""Jaiwana Kala Rai"" OR ""जिवन कला राई"")"
देउमान लिम्बु,सुनसरी,1,स्वतन्त्र,मुढा,"(""Daeumana"" OR ""Daeumana Laimabau"" OR ""देउमान लिम्बु"")"
शेष प्रसाद रेग्मी,सुनसरी,1,स्वतन्त्र,सिरिन्ज,"(""Shaesha Parasada Raegamai"" OR ""शेष प्रसाद रेग्मी"" OR ""Shaesha"")"
सुबास विश्वकर्मा,सुनसरी,1,स्वतन्त्र,झोला,"(""Saubasa Waishawakarama"" OR ""Saubasa"" OR ""सुबास विश्वकर्मा"")"
सुमित राई,सुनसरी,1,स्वतन्त्र,आँप,"(""Saumaita"" OR ""सुमित राई"" OR ""Saumaita Rai"")"
सुजन लामा,सुनसरी,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""Saujana"" OR ""सुजन लामा"" OR ""Saujana Lama"")"
राजीव कोइराला,सुनसरी,2,नेपाली काँग्रेस,रुख,"(""Rajaiwa Kaoirala"" OR ""राजीव कोइराला"" OR ""Rajaiwa"")"
राम कुमारी चौधरी,सुनसरी,2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""Rama Kaumarai Chaudharai"" OR ""राम कुमारी चौधरी"" OR ""Rama"")"
लाल बिक्रम थापा,सुनसरी,2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""लाल बिक्रम थापा"" OR ""Lala"" OR ""Lala Baikarama Thapa"")"
दिने‍श कुमार बस्‍नेत,सुनसरी,2,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""दिने‍श कुमार बस्‍नेत"" OR ""Dainaesha Kaumara Basanaeta"" OR ""Dainaesha"")"
रामचन्द्र मेहता,सुनसरी,2,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""रामचन्द्र मेहता"" OR ""Ramachanadara Maehata"" OR ""Ramachanadara"")"
महाविर मेहता,सुनसरी,2,जनमत पार्टी,लाउड स्पिकर,"(""Mahawaira"" OR ""महाविर मेहता"" OR ""Mahawaira Maehata"")"
गिता मैया बजिको,सुनसरी,2,नेपाल मजदुर किसान पार्टी,मादल,"(""Gaita Maiya Bajaikao"" OR ""गिता मैया बजिको"" OR ""Gaita"")"
ताजिना  विष्ट,सुनसरी,2,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,"(""Tajaina"" OR ""ताजिना  विष्ट"" OR ""Tajaina  Waishata"")"
नुनु राम चौधरी,सुनसरी,2,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,"(""Naunau"" OR ""Naunau Rama Chaudharai"" OR ""नुनु राम चौधरी"")"
सन्‍तहिरा राई,सुनसरी,2,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Sanatahaira"" OR ""सन्‍तहिरा राई"" OR ""Sanatahaira Rai"")"
अतित नेपाल,सुनसरी,2,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,"(""Ataita Naepala"" OR ""Ataita"" OR ""अतित नेपाल"")"
तुलसा लिम्बु,सुनसरी,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""तुलसा लिम्बु"" OR ""Taulasa"" OR ""Taulasa Laimabau"")"
चेतन राई,सुनसरी,2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""Chaetana Rai"" OR ""चेतन राई"" OR ""Chaetana"")"
कृष्ण कुमारी दनुवार,सुनसरी,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Karishana Kaumarai Danauwara"" OR ""कृष्ण कुमारी दनुवार"" OR ""Karishana"")"
गोपाल  तामाङ,सुनसरी,2,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""गोपाल  तामाङ"" OR ""Gaopala"" OR ""Gaopala  Tamanga"")"
सन्तोष कुमार मेहता,सुनसरी,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""Sanataosha"" OR ""सन्तोष कुमार मेहता"" OR ""Sanataosha Kaumara Maehata"")"
अदित्य आचार्य,सुनसरी,2,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,"(""Adaitaya Acharaya"" OR ""Adaitaya"" OR ""अदित्य आचार्य"")"
निरन्जन ठाकुर,सुनसरी,2,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,"(""Nairanajana Thakaura"" OR ""Nairanajana"" OR ""निरन्जन ठाकुर"")"
अन्जना देवी गुप्ता,सुनसरी,2,स्वतन्त्र,पंखा,"(""अन्जना देवी गुप्ता"" OR ""Anajana Daewai Gaupata"" OR ""Anajana"")"
इफतखार हसन (इकवाल),सुनसरी,2,स्वतन्त्र,कैंची,"(""इफतखार हसन (इकवाल)"" OR ""Iphatakhara"" OR ""Iphatakhara Hasana Ikawala"")"
डम्‍बर बहादुर बराइली,सुनसरी,2,स्वतन्त्र,कप र प्लेट,"(""डम्‍बर बहादुर बराइली"" OR ""Damabara"" OR ""Damabara Bahadaura Barailai"")"
